Index,pH,Iron,Nitrate,Chloride,Lead,Zinc,Color,Turbidity,Fluoride,Copper,Odor,Sulfate,Conductivity,Chlorine,Manganese,Total Dissolved Solids,Source,Water Temperature,Air Temperature,Month,Day,Time of Day,Target
266409,8.052366427,0.00499293,4.456638819,201.3813384,5.16e-10,0.126647205,Colorless,0.006994339,0.305086118,0.84513879,0.953113714,184.3016451,444.355623,4.20114005,0.017998642,334.9664512,Well,32.48047553,75.42933051,May,3.0,5.0,0
899296,7.872822802,0.00162385,7.601237645,181.5648882,1.6000000000000001e-43,0.000225135,Near Colorless,0.596918742,0.496635516,0.248234757,2.651331706,99.04249864,295.6487648,2.07394261,7.98e-09,466.4811052,River,12.98287704,87.0396645,March,26.0,21.0,0
591549,8.000621552,0.000224885,5.503558957,138.6990575,2.78e-15,0.136499707,Colorless,0.193077953,1.614408483,0.131030008,0.137077004,156.4911529,927.312144,2.930335026,1.18e-11,421.6756498,Stream,29.89978232,73.48348651,September,13.0,16.0,0
973140,6.141735782,0.273720944,3.615159248,161.389674,5.48e-63,0.259807533,Light Yellow,0.203397518,0.680530462,1.245931606,1.146941543,166.0733019,137.2915335,2.538745482,3.59e-07,384.1936929,,7.129320699,65.78094646,April,2.0,20.0,0
998578,6.147931907,6.55e-15,2.936654506,152.5056715,9.27e-47,11.93828889,Colorless,0.001765043,2.148153869,1.969922085,2.956122428,270.6004457,331.2357033,3.405192923,0.124429471,414.5032019,Spring,26.73413779,63.80814373,January,,18.0,0
872936,7.933244586,7.47e-13,4.459731471,184.3120354,1.7e-120,3.852317091,Near Colorless,8.67e-06,0.344080348,0.271937509,1.43418739,219.0772246,,2.463341879,1.91e-11,13.92646173,Ground,15.07001862,42.36643072,December,9.0,4.0,0
516142,7.87658282,1.29e-08,9.61189898,160.7497391,7.81e-75,0.19779457,Near Colorless,0.384544369,0.392694732,0.103064302,2.727162496,156.1277087,149.1733796,2.502934762,0.015939781,135.9407494,Spring,10.3747957,29.62466792,April,9.0,5.0,0
857272,6.898326099,1.54e-07,4.633048119,223.250777,1.27e-221,0.760314981,Faint Yellow,0.132084356,1.355655261,0.499484081,2.893218125,148.2250051,421.2255295,2.789860632,9.08e-06,152.5394171,Spring,32.46173375,46.63057552,October,22.0,6.0,0
77725,7.713101888,1.49e-06,2.874366263,198.6381633,2.15e-151,0.558236689,Faint Yellow,0.06607813,,0.518543349,2.516343552,87.38658416,431.0590654,1.999430516,0.000763995,280.0621172,Stream,29.57107917,26.45909972,February,2.0,9.0,0
22688,6.800194183,1.04e-07,4.954313004,127.3796496,2.16e-149,0.475167155,Faint Yellow,0.271702745,1.741143544,0.153395425,,113.120243,571.7601159,3.972967093,0.014786559,7.394656883,Reservoir,29.60125611,90.56325124,February,6.0,7.0,0
11340,7.84225949,3.03e-08,3.631423496,155.7535265,4.3200000000000004e-64,0.090722856,Colorless,0.928646761,1.883988772,0.688860734,2.990536307,93.41194946,510.1324538,2.940204028,0.014264417,441.3991128,River,,46.67025119,October,23.0,8.0,0
1019833,6.926453638,0.227743876,4.17144404,226.5826253,9.350000000000001e-103,1.02939824,Yellow,1.429345251,0.424624082,0.353790547,1.966328792,168.9943651,415.1551144,3.758795664,0.500185501,478.53589,Aquifer,21.66755316,51.20079586,June,13.0,9.0,0
820791,7.700273871,0.036465856,6.027804808,142.2344505,6.689999999999999e-113,0.190004776,Near Colorless,0.029457998,1.156114555,0.02273109,,221.3728422,391.1578958,3.066634672,,459.3225098,Lake,35.63508975,45.79144242,June,18.0,11.0,0
499090,8.066930911,0.000295206,7.743492477,147.5107852,1.13e-21,0.465680415,Colorless,0.001243339,0.047031851,0.237266542,0.261530806,192.4878784,620.127199,4.031944593,,407.1368212,Aquifer,28.38297863,64.61038906,March,30.0,16.0,0
73361,7.382137077,0.014983749,6.559224837,136.8270372,6.57e-46,1.229486098,Colorless,0.95437911,1.157085877,0.2604023,2.640940653,185.5935231,377.6552811,2.5862312,0.000207224,228.7441912,Ground,34.13501992,36.11346146,November,8.0,21.0,0
231805,7.086913126,3.62e-15,5.832903577,233.3430191,3.1000000000000003e-47,0.041197829,Yellow,0.123311907,0.267846906,0.619064789,1.288070565,176.0338642,413.352159,2.325641141,3.54e-06,99.52745162,Lake,13.66312527,76.15496778,December,22.0,14.0,0
663468,7.819763164,0.004546306,4.337732572,186.5471412,2.5299999999999998e-92,0.818211425,Near Colorless,0.217000944,0.443561745,0.686195927,0.049001807,65.58231775,254.674003,1.975688553,3.05e-05,458.4002896,Spring,26.94811592,53.29735743,December,17.0,7.0,0
443588,6.394675195,0.003132266,5.472391242,112.2005897,4.25e-20,0.113312827,Yellow,2.690477508,0.24738141,0.068120364,2.369258879,107.2436853,1646.595693,3.349509865,0.020525513,22.2335303,Spring,11.13100265,62.34641335,October,9.0,1.0,0
1003988,6.830063462,0.037270918,4.334012518,203.0613335,3.65e-217,0.084675941,Near Colorless,0.326068334,1.985153219,0.338698852,2.460314287,77.52455727,417.9932201,3.126499593,0.005168487,174.5054823,Aquifer,14.94694934,61.28503464,December,5.0,22.0,0
450840,7.738325399,8.44e-05,6.329914591,183.7585425,0.000101942,1.440235636,Near Colorless,0.265096582,,1.028947677,2.161368179,231.1911546,537.1630015,3.861777425,6.68e-17,494.8600727,Spring,29.03425595,64.58364177,October,18.0,23.0,0
415597,7.544572284,0.000490192,2.416844137,130.2770487,4.72e-40,1.814747413,Light Yellow,0.000823568,0.404809192,0.156557602,0.847508265,159.6463727,669.6818759,2.626564724,5.670000000000001e-22,191.124108,Stream,26.46377889,51.82537138,August,10.0,3.0,0
895259,7.255292375,0.000486736,2.828708381,101.6731218,2.25e-37,3.335663521,Colorless,0.475586724,0.721853545,0.010988227,1.303117326,105.2580121,472.5333341,3.567944925,0.020946998,174.7075916,Aquifer,21.14724087,70.72547637,May,2.0,17.0,0
570797,8.148589265,2.06e-06,3.194893122,137.6186252,2.4799999999999996e-42,0.105079409,Colorless,0.13772523,0.211779587,0.003788694,1.007820743,,583.8310054,2.56869413,2.7e-12,493.3092382,Lake,14.26975438,63.61195286,June,21.0,1.0,0
383289,7.805111255,1.81e-05,2.961541757,99.32607091,2.85e-20,0.613703501,Near Colorless,0.008468799,1.465918704,0.373595776,0.705321632,70.7599755,370.5167116,3.100220821,1.92e-06,454.2694458,Lake,39.2222516,59.85154571,April,18.0,10.0,0
384100,7.703049426,0.099695787,6.495187245,77.27938839,1.4699999999999998e-285,0.865055973,Near Colorless,0.016217289,0.468726293,0.827611642,1.799344806,163.81406,251.1292898,3.391117292,0.009184671,457.7932076,Spring,32.78517148,80.95315951,September,30.0,1.0,0
